Order,File_Type,SKU_number,SoldFlag,SoldCount,MarketingType,ReleaseNumber,New_Release_Flag,StrengthFactor,PriceReg,ReleaseYear,ItemCount,LowUserPrice,LowNetPrice
2,Historical,1737127,0,0,D,15,1,682743,44.99,2015,8,28.97,31.84
3,Historical,3255963,0,0,D,7,1,1016014,24.81,2005,39,0,15.54
4,Historical,612701,0,0,D,0,0,340464,46,2013,34,30.19,27.97
6,Historical,115883,1,1,D,4,1,334011,100,2006,20,133.93,83.15
7,Historical,863939,1,1,D,2,1,1287938,121.95,2010,28,4,23.99
8,Historical,214948,0,0,D,0,0,1783153,132,2011,33,138.98,13.64
9,Historical,484059,0,0,D,13,1,2314801,95.95,2010,33,90.77,46.49
10,Historical,146401,0,0,D,4,1,721111,207.8,2011,57,187.9,30.56
11,Historical,110568,0,0,D,11,1,436667,119.81,2008,36,63.99,96.92
12,Historical,764270,0,0,D,5,1,6652211,49.95,2004,19,53.99,28.99
13,Historical,1597828,0,0,D,9,1,161348,36.95,2008,21,0,27.98
14,Historical,178736,0,0,D,4,1,3005118,55.95,2010,16,34.51,11.52
15,Historical,525904,0,0,D,10,1,1785056,104.99,2010,15,4.39,73.89
16,Historical,3016759,0,0,D,2,1,4323581,0,1994,26,0,61.85
17,Historical,169222,0,0,D,8,1,2352021,129.95,2006,22,75.84,8.97
18,Historical,3071053,0,0,D,5,1,7693526,64.95,2005,12,128.99,37.39
19,Historical,110699,1,1,D,6,1,383129,120.39,2007,69,170.45,78.99
20,Historical,115159,0,0,D,1,0,909831,126.2,2001,33,38.92,44.46
21,Historical,143125,0,0,D,9,1,2798929,167.75,2006,20,6.97,28.49
22,Historical,144296,0,0,D,2,1,2491442,94.6,2001,33,11.23,4.99
23,Historical,159588,0,0,D,2,1,1315627,53.95,2007,37,9.93,15.89
24,Historical,178701,0,0,D,0,0,1814079,399.95,2012,34,71.79,91.9
25,Historical,210839,1,1,D,1,0,1568054,42.95,2001,23,57.94,18.99
26,Historical,210920,0,0,D,1,0,54999,97.95,2009,34,42.35,63.98
27,Historical,2387463,1,1,D,6,1,270193,0,1979,22,141.98,76.22
28,Historical,2398402,1,1,D,2,1,156638,98.95,1988,67,142.71,14.02
29,Historical,244942,1,1,D,9,1,1160035,177.95,2003,52,45.8,9.99
30,Historical,247825,0,0,D,2,1,2450935,51.95,2004,46,57.89,12.49
31,Historical,251957,0,0,D,3,1,1728372,70.95,2009,47,7.47,4
32,Historical,3133247,0,0,D,4,1,2925930,50,2001,14,112.86,59.69
33,Historical,51449,0,0,D,8,1,3048814,46.75,2000,38,122.18,20.92
34,Historical,542339,0,0,D,3,1,446722,44.95,2005,85,17.7,10.97
35,Historical,547880,0,0,D,0,0,280195,168.25,1997,69,7.95,33.89
36,Historical,561829,0,0,D,12,1,4073832,224.95,2003,22,93.99,10.96
37,Historical,567748,0,0,D,10,1,497215,77.95,2010,39,53.3,33.49
38,Historical,569884,0,0,D,3,1,653610,74.95,1992,20,26.99,82.32
39,Historical,576667,0,0,D,3,1,823824,123.95,2008,33,30.96,11.99
40,Historical,607032,0,0,D,10,1,863931,215.31,2010,73,103.99,33.99
41,Historical,607243,0,0,D,3,1,2136904,106.67,2002,23,59.67,17.27
42,Historical,609142,0,0,D,2,1,1384204,69.95,2001,68,60.6,18.99
43,Historical,617600,0,0,D,4,1,633960,65.25,2001,30,19.67,8.92
44,Historical,635204,1,1,D,10,1,374220,125,2008,35,128.79,51.99
45,Historical,643315,1,1,D,8,1,5246811,33.95,2002,11,52.01,25.99
46,Historical,754098,0,0,D,1,0,1414207,160,2009,23,112.16,33.8
47,Historical,875719,0,0,D,0,0,2439559,52.95,2005,45,42.19,7.96
48,Historical,875765,1,1,D,2,1,648434,30.95,1998,70,46.07,9.48
49,Historical,906616,1,1,D,3,1,1948928,43.78,1995,32,60.98,27.58
50,Historical,909496,0,0,D,3,1,2979598,71.95,1991,19,53.46,14.62
51,Historical,913331,0,0,D,2,1,348628,72.45,1998,25,19.99,39.99
52,Historical,920994,1,1,D,0,0,608444,26.5,1999,68,40.25,19.98
53,Historical,111997,0,0,D,38,1,1576220,52.25,2011,37,7.5,12.43
54,Historical,115750,0,0,D,3,1,1205216,120.67,2003,58,143.14,70.27
55,Historical,143053,1,1,D,5,1,1961401,29,2005,18,32.99,7.74
56,Historical,1447623,0,0,D,5,1,624574,0,2008,20,96.97,48.93
57,Historical,1449431,0,0,D,2,1,1088497,130.75,2007,18,0,63.96
58,Historical,144961,1,1,D,6,1,3289501,75.33,2005,29,43.5,11.49
59,Historical,154321,1,1,D,4,1,3074866,41.75,2000,35,33.98,10.78
60,Historical,159482,0,0,D,1,0,2815601,51.95,2001,16,41.53,32.88
61,Historical,163847,1,1,D,2,1,2024297,130,1999,18,105.31,89.51
62,Historical,1782464,1,1,D,2,1,571870,40.95,2012,28,34.1,36.84
63,Historical,184091,0,0,D,1,0,808413,140.95,2005,31,0,39.72
64,Historical,202261,1,1,D,7,1,2395820,104.95,2000,27,72.11,12.88
65,Historical,202274,1,1,D,3,1,2668720,199.95,2002,41,4.91,28.99
66,Historical,2407771,0,0,D,19,1,131131,29.5,1996,23,33.31,26.99
67,Historical,288419,0,0,D,4,1,2774916,173,2005,20,40.89,28.48
68,Historical,320961,0,0,D,1,0,1206960,69.95,2004,18,37.21,48.99
71,Historical,416034,0,0,D,4,1,2831417,24.38,2001,73,58.92,4
72,Historical,534275,0,0,D,4,1,1074176,112.5,2000,98,0,0
73,Historical,540508,0,0,D,7,1,1915485,54.8,2004,32,44.77,92.63
74,Historical,56578,0,0,D,2,1,1048853,97.35,2003,36,64.91,59.65
75,Historical,573522,0,0,D,2,1,507898,54.95,1995,36,19.34,12.99
76,Historical,597332,1,1,D,1,0,2429458,49,2002,21,51.94,32.29
77,Historical,602185,1,1,D,4,1,571045,125,2009,91,0,8.54
78,Historical,609113,1,1,D,2,1,1838768,159.95,2000,26,54.58,101.21
79,Historical,613931,1,1,D,4,1,1099429,9.56,2010,76,4,6.24
80,Historical,615086,1,1,D,4,1,5090654,45,1997,29,32.18,18.18
81,Historical,641332,0,0,D,2,1,2038184,115,2002,25,47.23,42.99
82,Historical,682967,1,1,D,0,0,1313634,20.5,2003,52,36.27,14.99
83,Historical,705864,1,1,D,6,1,3364314,0,2012,22,158.81,30
84,Historical,715964,0,0,D,4,1,682746,208.67,2012,26,83.65,12.59
85,Historical,716418,1,1,D,12,1,3476445,0,2008,33,120.01,49.49
86,Historical,849005,0,0,D,6,1,2824667,87.56,1998,32,66.97,38.36
87,Historical,889635,0,0,D,1,0,5130755,53.95,2002,15,37.62,105.99
88,Historical,907998,1,1,D,1,0,408363,85.95,1997,22,63.07,48.98
89,Historical,914430,1,1,D,1,0,2986907,41,2001,24,0,23.83
90,Historical,914892,1,1,D,9,1,1248257,21.25,2000,34,87.97,12.74
91,Historical,916266,1,1,D,2,1,1773189,62,1999,38,25.14,39.93
92,Historical,415834,0,0,D,15,1,701254,90,2008,19,62,245.33
93,Historical,110747,0,0,D,6,1,412597,151.88,2008,24,41.4,34.99
94,Historical,2250597,1,1,D,2,1,1123365,98.03,2008,41,103.91,71.38
95,Historical,549258,1,1,D,15,1,596788,131.35,1995,54,73.4,53.47
96,Historical,877061,1,1,D,3,1,1624425,88.29,2012,54,103.69,88.99
97,Historical,913893,1,1,D,7,1,1072639,67.91,2011,25,53.91,45.27
98,Historical,531852,0,0,D,2,1,1018066,39.97,2009,46,100.23,38.44
99,Historical,109304,0,0,D,11,1,2151445,147,2008,38,78.8,52.85
100,Historical,109306,0,0,D,10,1,1499803,168.5,2008,26,108.85,20
101,Historical,61125,0,0,D,10,1,1507077,149.99,2007,66,10.19,7.97
102,Historical,879548,1,1,D,7,1,1213899,22.78,2010,51,132.46,13.39
103,Historical,632083,0,0,D,3,1,309197,35.39,2012,22,81.03,95.74
104,Historical,879991,1,1,D,1,0,2980187,137,2009,35,143.63,27.99
105,Historical,417259,0,0,D,3,1,197970,0,2010,19,113.99,282.29
106,Historical,878475,1,1,D,7,1,559655,0,2011,17,97,201.63
107,Historical,109764,0,0,D,9,1,414704,98,2006,20,98.26,24.96
108,Historical,309789,0,0,D,16,1,983306,236.58,2011,24,122.84,288.58
109,Historical,696709,0,0,D,8,1,3086671,38.98,2009,16,68.99,38.99
110,Historical,616936,0,0,D,7,1,1861576,40.1,2010,20,132.94,41.18
111,Historical,699262,1,1,D,10,1,2914945,25.98,2011,20,111.5,25.98
112,Historical,312207,0,0,D,3,1,1875110,102,2001,24,43.95,26.35
113,Historical,909341,1,1,D,2,1,1408387,0,1990,22,44.75,56.23
114,Historical,2389077,1,1,D,2,1,1230078,105,1994,28,188.89,54.45
115,Historical,120072,1,1,D,11,1,919734,141.33,2008,35,107.77,48.98
116,Historical,537375,0,0,D,6,1,1117319,249.07,2011,30,102.72,193.98
117,Historical,115541,0,0,D,2,1,518837,33,2003,87,41.97,8.93
